x=1,x=2,x=3,x=4,x=5,x=6
385378.783601313,327426.820274721,313953.140190953,311792.052739315,311528.256250034,311502.299230585
386105.453987853,327608.487871357,313983.418123726,311795.837480911,311528.634724194,311502.330770098
393372.157853256,329425.163837707,314286.197451451,311833.684896877,311532.419465791,311502.646165231
389738.805920555,328516.825854532,314134.807787588,311814.761188894,311530.527094992,311502.488467664
391192.146693635,328880.161047802,314195.363653133,311822.330672087,311531.284043311,311502.551546691
